Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
6300000,Secondary, Опалиха,6,Moscow region,1,30.6,11.1,8.5,25,25,Cosmetic
9000000,Secondary, Павшино,2,Moscow region,1,49.2,20,10,6,15,European-style renovation
11090000,Secondary, Мякинино,14,Moscow region,1,44.7,16.2,13.1,10,25,Cosmetic
8300000,Secondary, Строгино,8,Moscow region,1,35.1,16,11,12,33,European-style renovation
6450000,Secondary, Опалиха,6,Moscow region,1,37.7,15.2,4,5,5,Without renovation
7150000,Secondary, Опалиха,6,Moscow region,1,38.4,18,8,8,18,European-style renovation
7400000,Secondary, Нахабино,11,Moscow region,1,33,16,8,7,7,European-style renovation
7500000,Secondary, Строгино,27,Moscow region,1,25,14.8,8.7,16,34,European-style renovation
7800000,Secondary, Красногорская,6,Moscow region,1,41.8,18,10,6,17,Cosmetic
7999999,Secondary, Тушинская,35,Moscow region,1,44,19,11,11,24,Designer
9000000,Secondary, Аникеевка,17,Moscow region,1,44.8,15,10.3,5,6,European-style renovation
12300000,Secondary, Волоколамская,16,Moscow region,1,39,21.9,9.9,26,30,Designer
14000000,Secondary, Волоколамская,12,Moscow region,1,48,23,9,12,28,Designer
6000000,Secondary, Павшино,3,Moscow region,1,33.8,17,7,4,9,Without renovation
6200000,Secondary, Красногорская,19,Moscow region,1,32.7,18,6,9,9,European-style renovation
6300000,Secondary, Красногорская,19,Moscow region,1,32.1,18.4,9.3,2,9,Without renovation
6500000,Secondary, Опалиха,7,Moscow region,1,34.9,17,9,2,14,Cosmetic
6800000,Secondary, Опалиха,7,Moscow region,1,38,17.4,9,8,14,European-style renovation
7350000,Secondary, Опалиха,6,Moscow region,1,40,16.1,9.8,17,24,European-style renovation
8100000,Secondary, Красногорская,6,Moscow region,1,47.6,26,12,8,11,Cosmetic
8200000,Secondary, Опалиха,12,Moscow region,1,32.5,18.6,9.3,1,8,Designer
8600000,Secondary, Строгино,8,Moscow region,1,36.5,13,15,23,33,Designer
9200000,Secondary, Опалиха,5,Moscow region,1,33.75,16.5,8.6,3,8,Designer
9300000,Secondary, Волоколамская,15,Moscow region,1,39.1,18,11,17,29,Without renovation
10099000,Secondary, Мякинино,16,Moscow region,1,38,21.3,9.8,6,19,Designer
11000000,Secondary, Строгино,11,Moscow region,1,50.8,23.2,11.6,14,22,Cosmetic
14000000,Secondary, Мякинино,16,Moscow region,1,38.1,21.4,9.8,5,19,Designer
7800000,Secondary, Опалиха,6,Moscow region,1,39.5,16.6,12,20,26,European-style renovation
7750000,Secondary, Опалиха,7,Moscow region,1,39.5,14,14.1,2,26,European-style renovation
8300000,Secondary, Опалиха,5,Moscow region,1,44,18,11.6,10,25,Cosmetic
8500000,Secondary, Пенягино,16,Moscow region,1,32.1,9,18,23,45,European-style renovation
9400000,Secondary, Пенягино,9,Moscow region,1,42,9,10.1,4,23,Cosmetic
9500000,Secondary, Мякинино,20,Moscow region,1,37.7,18.9,7.4,8,17,Without renovation
9600000,Secondary, Мякинино,20,Moscow region,1,38.6,21.6,9.8,16,17,Cosmetic
9700000,Secondary, Митино,7,Moscow region,1,42.3,23.5,10.1,7,17,European-style renovation
10300000,Secondary, Строгино,8,Moscow region,1,38.6,17,12,16,32,European-style renovation
11000000,Secondary, Мякинино,15,Moscow region,1,43,19.6,5,3,17,European-style renovation
11680000,Secondary, Пенягино,16,Moscow region,1,36.5,20.6,9.7,5,45,Designer
11900000,Secondary, Павшино,2,Moscow region,1,28,18,7,12,31,Designer
4200000,Secondary, Красногорская,36,Moscow region,1,18.3,13,2.3,5,5,Cosmetic
5250000,Secondary, Павшино,6,Moscow region,1,31,18,6,1,4,Cosmetic
5450000,Secondary, Красногорская,13,Moscow region,1,31,18,6,5,5,Cosmetic
5700000,Secondary, Опалиха,29,Moscow region,1,45,28,7,1,3,Cosmetic
5790000,Secondary, Опалиха,7,Moscow region,1,26.6,16.5,5,23,26,European-style renovation
5800000,Secondary, Павшино,5,Moscow region,1,32.5,20,7,7,9,Cosmetic
5800000,Secondary, Павшино,12,Moscow region,1,28.3,17,6,3,5,Without renovation
5840000,Secondary, Павшино,4,Moscow region,1,23,14.5,3.5,4,5,Cosmetic
5800000,Secondary, Павшино,10,Moscow region,1,31,18,9.2,3,5,Cosmetic
6000000,Secondary, Павшино,4,Moscow region,1,23,14.5,3.5,4,5,Cosmetic
6100000,Secondary, Опалиха,7,Moscow region,1,30.5,14,9.5,13,25,European-style renovation
6100000,Secondary, Опалиха,6,Moscow region,1,39,10,9.9,7,18,Cosmetic
6100000,Secondary, Опалиха,6,Moscow region,1,39,9,9.9,5,18,Cosmetic
6100000,Secondary, Опалиха,19,Moscow region,1,32,18.3,9.3,1,7,Cosmetic
6200000,Secondary, Красногорская,7,Moscow region,1,32,17,6,4,5,European-style renovation
6300000,Secondary, Павшино,7,Moscow region,1,30,10.9,8.3,25,25,Cosmetic
6300000,Secondary, Пенягино,8,Moscow region,1,19.5,12,8.3,2,22,Designer
6499000,Secondary, Красногорская,6,Moscow region,1,34.7,19,10,11,16,Without renovation
6500000,Secondary, Тушинская,17,Moscow region,1,31.8,13.7,10,19,25,Cosmetic
6550000,Secondary, Опалиха,16,Moscow region,1,34,15,11,4,12,Cosmetic
6650000,Secondary, Опалиха,16,Moscow region,1,34,15,11,6,12,Cosmetic
6750000,Secondary, Опалиха,19,Moscow region,1,34,18,6,1,6,European-style renovation
6800000,Secondary, Опалиха,7,Moscow region,1,35.5,14.9,11.5,12,25,Cosmetic
6800000,Secondary, Опалиха,16,Moscow region,1,40.8,17,14.9,2,8,Without renovation
6800000,Secondary, Опалиха,15,Moscow region,1,35.5,16,11.5,2,12,Without renovation
6890000,Secondary, Тушинская,16,Moscow region,1,35.4,17,8.4,4,14,European-style renovation
6800000,Secondary, Опалиха,5,Moscow region,1,37.9,18,9,9,18,Cosmetic
6800000,Secondary, Павшино,14,Moscow region,1,35.1,17.7,8,5,9,Cosmetic
6990000,Secondary, Красногорская,18,Moscow region,1,29,15.2,5,5,5,European-style renovation
7000000,Secondary, Красногорская,8,Moscow region,1,37,14.5,10.1,15,24,Cosmetic
7000000,Secondary, Опалиха,6,Moscow region,1,32.6,13.8,8.7,3,9,European-style renovation
7000000,Secondary, Павшино,20,Moscow region,1,46,20,8,11,25,Without renovation
7000000,Secondary, Красногорская,39,Moscow region,1,38,19,9,9,14,Cosmetic
7100000,Secondary, Опалиха,5,Moscow region,1,39.6,17.6,8.2,2,18,European-style renovation
7200000,Secondary, Тушинская,17,Moscow region,1,40,22.4,9.9,4,25,Cosmetic
7200000,Secondary, Опалиха,7,Moscow region,1,35.6,14,11.4,7,24,European-style renovation
7200000,Secondary, Опалиха,6,Moscow region,1,40,15.7,8.2,2,11,European-style renovation
7200000,Secondary, Красногорская,15,Moscow region,1,32,19,6,3,5,Cosmetic
7200000,Secondary, Опалиха,6,Moscow region,1,38,19,8,7,17,Cosmetic
7200000,Secondary, Красногорская,8,Moscow region,1,39.5,10,9.9,2,18,Cosmetic
7290000,Secondary, Опалиха,6,Moscow region,1,38.4,16.8,10.4,14,26,European-style renovation
7300000,Secondary, Опалиха,5,Moscow region,1,39.3,13.2,13.2,22,25,European-style renovation
7300000,Secondary, Павшино,7,Moscow region,1,39.3,19.5,9.4,3,14,Cosmetic
7400000,Secondary, Опалиха,6,Moscow region,1,39.5,12.7,15.1,22,25,Cosmetic
7400000,Secondary, Красногорская,6,Moscow region,1,34,15,8,9,9,European-style renovation
7499000,Secondary, Опалиха,4,Moscow region,1,32,15,10,2,8,Without renovation
7450000,Secondary, Опалиха,10,Moscow region,1,32.2,15,9.1,9,12,European-style renovation
7500000,Secondary, Павшино,12,Moscow region,1,32,17,10,7,21,European-style renovation
7500000,Secondary, Митино,12,Moscow region,1,57,20.6,12,1,10,Cosmetic
7500000,Secondary, Опалиха,6,Moscow region,1,37.4,15.2,11.1,5,25,Without renovation
7500000,Secondary, Опалиха,6,Moscow region,1,34,14,10,20,27,Cosmetic
7500000,Secondary, Красногорская,4,Moscow region,1,34.6,20,7,12,12,European-style renovation
7590000,Secondary, Опалиха,6,Moscow region,1,35.5,19,9,8,25,European-style renovation
7600000,Secondary, Красногорская,6,Moscow region,1,39,17,9,3,18,Cosmetic
7720000,Secondary, Опалиха,5,Moscow region,1,46.8,22.3,7.7,1,10,Cosmetic
7700000,Secondary, Опалиха,7,Moscow region,1,38.8,14.1,13.3,24,25,Cosmetic
7650000,Secondary, Опалиха,6,Moscow region,1,38.1,18,10,20,26,European-style renovation
7750000,Secondary, Опалиха,7,Moscow region,1,34.6,17,10,25,26,European-style renovation
7800000,Secondary, Павшино,4,Moscow region,1,39.4,10,9.9,12,12,Cosmetic
7800000,Secondary, Красногорская,6,Moscow region,1,40.4,16.3,11.1,1,17,Cosmetic
7800000,Secondary, Аникеевка,6,Moscow region,1,39.5,16.6,12,20,26,Cosmetic
7750000,Secondary, Красногорская,38,Moscow region,1,41.1,20,10,8,14,Cosmetic
7800000,Secondary, Опалиха,6,Moscow region,1,37,15.2,9.1,24,26,Designer
7950000,Secondary, Павшино,11,Moscow region,1,33.4,17,9.4,2,8,European-style renovation
7900000,Secondary, Павшино,7,Moscow region,1,36,20,8,3,4,European-style renovation
7900000,Secondary, Опалиха,16,Moscow region,1,34.1,16.3,9,1,8,European-style renovation
7900000,Secondary, Красногорская,43,Moscow region,1,37.6,21.1,9.8,4,24,Cosmetic
7999000,Secondary, Опалиха,12,Moscow region,1,33.7,19.2,9.4,10,12,European-style renovation
8000000,Secondary, Красногорская,20,Moscow region,1,40,11,19,5,9,European-style renovation
8000000,Secondary, Опалиха,19,Moscow region,1,33,8,9.4,6,10,European-style renovation
8000000,Secondary, Опалиха,14,Moscow region,1,33.5,16.2,9,1,8,European-style renovation
8100000,Secondary, Опалиха,4,Moscow region,1,38.4,21.5,9.8,2,8,Without renovation
8199000,Secondary, Красногорская,8,Moscow region,1,47.8,23.4,11.6,2,7,Designer
8200000,Secondary, Опалиха,6,Moscow region,1,47.2,22,12,19,26,Cosmetic
8200000,Secondary, Митино,7,Moscow region,1,35.3,15,8.3,5,17,European-style renovation
8150000,Secondary, Павшино,12,Moscow region,1,30,17.3,9.1,10,21,Designer
8290000,Secondary, Опалиха,6,Moscow region,1,38.6,16.7,9.3,18,25,European-style renovation
8290000,Secondary, Строгино,8,Moscow region,1,34.1,14.1,11.2,21,34,Designer
8300000,Secondary, Опалиха,7,Moscow region,1,34.2,20,12,4,26,European-style renovation
8490000,Secondary, Пенягино,14,Moscow region,1,31.9,15,10,11,44,European-style renovation
8400000,Secondary, Опалиха,6,Moscow region,1,43.5,11.5,10.2,3,8,Without renovation
8500000,Secondary, Павшино,6,Moscow region,1,44,11,20,17,17,Cosmetic
8500000,Secondary, Опалиха,6,Moscow region,1,36.4,10,9.7,3,25,Designer
8500000,Secondary, Митино,12,Moscow region,1,39.2,14,10.4,14,25,European-style renovation
8600000,Secondary, Опалиха,6,Moscow region,1,48.5,17.7,13.5,15,17,European-style renovation
8600000,Secondary, Красногорская,10,Moscow region,1,44,17.5,10,5,14,European-style renovation
8700000,Secondary, Опалиха,5,Moscow region,1,47.6,20,11.5,18,25,European-style renovation
8700000,Secondary, Павшино,8,Moscow region,1,41.6,19,18,20,23,Cosmetic
8700000,Secondary, Павшино,5,Moscow region,1,37.9,21.3,9.8,1,12,Cosmetic
8700000,Secondary, Красногорская,6,Moscow region,1,43,22,11,2,14,Cosmetic
8690000,Secondary, Мякинино,16,Moscow region,1,36.3,20,8,4,19,Without renovation
8875000,Secondary, Красногорская,7,Moscow region,1,48,18,13,10,17,European-style renovation
8990000,Secondary, Красногорская,30,Moscow region,1,46,18,13,15,16,Cosmetic
8999999,Secondary, Павшино,8,Moscow region,1,42.9,16,13,1,24,Designer
8950000,Secondary, Аникеевка,6,Moscow region,1,45,19,13,8,24,European-style renovation
8900000,Secondary, Пенягино,10,Moscow region,1,39,20,10,16,25,European-style renovation
8900000,Secondary, Мякинино,24,Moscow region,1,40.5,18,12,16,25,European-style renovation
8950000,Secondary, Пенягино,12,Moscow region,1,39.7,22.2,9.9,10,25,Cosmetic
9050000,Secondary, Павшино,19,Moscow region,1,39.9,19,8,16,17,European-style renovation
9000000,Secondary, Строгино,8,Moscow region,1,38,20,15,7,33,European-style renovation
9249000,Secondary, Павшино,8,Moscow region,1,40,12,20,10,21,European-style renovation
9300000,Secondary, Опалиха,6,Moscow region,1,46.1,17.9,10.4,19,24,Designer
9300000,Secondary, Опалиха,6,Moscow region,1,45.8,18.8,12.8,14,17,European-style renovation
9316380,Secondary, Аникеевка,3,Moscow region,1,59.34,35.1,14.5,3,3,Without renovation
9300000,Secondary, Опалиха,15,Moscow region,1,54,26,12,7,10,European-style renovation
9350000,Secondary, Аникеевка,6,Moscow region,1,44.6,17.9,10.4,19,24,European-style renovation
9400000,Secondary, Пенягино,14,Moscow region,1,33,17,6,13,45,European-style renovation
9500000,Secondary, Пенягино,11,Moscow region,1,42.3,18,8.5,3,16,Cosmetic
9500000,Secondary, Пенягино,14,Moscow region,1,35,9,20,6,8,Cosmetic
9500000,Secondary, Пенягино,10,Moscow region,1,37.7,18,8,8,17,Cosmetic
9500000,Secondary, Пенягино,14,Moscow region,1,35,19.8,9.5,6,8,European-style renovation
9500000,Secondary, Пенягино,9,Moscow region,1,42,19.4,8.7,7,19,European-style renovation
9500000,Secondary, Опалиха,7,Moscow region,1,40,14.1,13.5,25,25,Designer
9499999,Secondary, Опалиха,16,Moscow region,1,34.6,12,10,5,8,Designer
9500000,Secondary, Опалиха,7,Moscow region,1,40,14,13.5,25,25,Cosmetic
9499999,Secondary, Аникеевка,17,Moscow region,1,42.8,24.8,12.7,4,6,Designer
9500000,Secondary, Пенягино,7,Moscow region,1,37.8,19,6,2,17,Cosmetic
9600000,Secondary, Пенягино,6,Moscow region,1,38.7,18.9,9,6,26,European-style renovation
9600000,Secondary, Павшино,3,Moscow region,1,47,23,12,15,25,Designer
9550000,Secondary, Пенягино,18,Moscow region,1,34,14,9.5,3,7,European-style renovation
9600000,Secondary, Пенягино,7,Moscow region,1,37,19,8,3,17,European-style renovation
9700000,Secondary, Пятницкое шоссе,10,Moscow region,1,45,28,12,6,17,Cosmetic
9700000,Secondary, Мякинино,16,Moscow region,1,37,17,9.3,17,19,European-style renovation
9700000,Secondary, Пенягино,16,Moscow region,1,35,20,6,35,45,European-style renovation
9700000,Secondary, Павшино,20,Moscow region,1,41.2,14,20,17,25,Designer
9800000,Secondary, Мякинино,15,Moscow region,1,40.2,18.9,13,21,23,Cosmetic
9800000,Secondary, Опалиха,6,Moscow region,1,46.1,25.4,10.5,9,17,European-style renovation
12550000,Secondary, Мякинино,20,Moscow region,2,60.7,40,13,2,7,Cosmetic
7500000,Secondary, Павшино,11,Moscow region,2,42,28,6,5,5,Cosmetic
11690000,Secondary, Опалиха,17,Moscow region,2,61,31,12,6,8,Without renovation
12700000,Secondary, Аникеевка,16,Moscow region,2,70.1,37.6,12.4,4,6,Cosmetic
12650000,Secondary, Пенягино,19,Moscow region,2,46.1,23.7,14.6,4,15,Designer
18000000,Secondary, Пенягино,18,Moscow region,2,68,35,17,30,44,Designer
12546450,Secondary, Пенягино,10,Moscow region,2,73.5,39.5,13.3,6,22,Without renovation
11500000,Secondary, Опалиха,6,Moscow region,2,56,22,13,3,24,Designer
9500000,Secondary, Митино,17,Moscow region,2,44,26,7,1,8,European-style renovation
10500000,Secondary, Митино,11,Moscow region,2,50.3,25,6,22,25,European-style renovation
11190000,Secondary, Митино,14,Moscow region,2,64.4,30.1,13.6,7,9,European-style renovation
11500000,Secondary, Пенягино,15,Moscow region,2,40,31,6.5,32,44,Designer
12500000,Secondary, Опалиха,6,Moscow region,2,60.7,17,11.7,7,17,European-style renovation
49500000,Secondary, Мякинино,14,Moscow region,2,109,59,15,8,8,Designer
51500000,Secondary, Мякинино,14,Moscow region,2,78.6,10,13.1,3,4,Designer
53000000,Secondary, Мякинино,14,Moscow region,2,79.3,12,13.2,3,4,Designer
8000000,Secondary, Аникеевка,5,Moscow region,2,35,16,16,3,3,Designer
8500000,Secondary, Павшино,14,Moscow region,2,43.5,28.2,6,1,5,European-style renovation
8800000,Secondary, Павшино,5,Moscow region,2,42,28,6,5,5,Cosmetic
9650000,Secondary, Опалиха,7,Moscow region,2,52,30,9,8,25,Cosmetic
9800000,Secondary, Красногорская,9,Moscow region,2,66,35.9,11.2,10,25,European-style renovation
10000000,Secondary, Павшино,12,Moscow region,2,50,15,30,6,21,European-style renovation
10300000,Secondary, Павшино,18,Moscow region,2,47,25.9,10.5,16,18,Designer
10500000,Secondary, Красногорская,6,Moscow region,2,47.2,32,9,11,12,Cosmetic
10700000,Secondary, Опалиха,6,Moscow region,2,52,30,12,10,26,Designer
12300000,Secondary, Красногорская,7,Moscow region,2,51,26,10,3,17,European-style renovation
13900000,Secondary, Пенягино,10,Moscow region,2,72,40,12,11,17,European-style renovation
13990000,Secondary, Павшино,3,Moscow region,2,61,32.7,10,23,25,Designer
16300000,Secondary, Опалиха,6,Moscow region,2,63.6,38,13,2,8,Designer
17500000,Secondary, Мякинино,26,Moscow region,2,91.6,48.7,14.3,15,25,European-style renovation
19900000,Secondary, Пенягино,13,Moscow region,2,75,50,20,20,25,Designer
22300000,Secondary, Мякинино,27,Moscow region,2,101.2,81,15.2,20,21,Without renovation
5500000,Secondary, Павшино,4,Moscow region,2,40,22.4,9.9,1,3,Without renovation
7200000,Secondary, Красногорская,14,Moscow region,2,34.49,22.9,5,12,24,Without renovation
8800000,Secondary, Опалиха,7,Moscow region,2,54,32,8,9,9,Cosmetic
10599999,Secondary, Опалиха,4,Moscow region,2,48.6,28,10.7,7,8,European-style renovation
11000000,Secondary, Опалиха,5,Moscow region,2,50,10,10.8,6,8,European-style renovation
11000000,Secondary, Мякинино,15,Moscow region,2,43,19.6,5,3,19,Cosmetic
11000000,Secondary, Опалиха,14,Moscow region,2,50,27.4,10.8,2,4,Designer
11000000,Secondary, Пенягино,15,Moscow region,2,38.8,27,9,18,46,European-style renovation
11250000,Secondary, Павшино,13,Moscow region,2,55,30,10,8,25,European-style renovation
11600000,Secondary, Мякинино,15,Moscow region,2,50,28,9.8,18,23,Designer
12000000,Secondary, Красногорская,9,Moscow region,2,43.57,20,18.5,31,44,Designer
12800000,Secondary, Пенягино,16,Moscow region,2,40,22.4,9.9,9,45,Designer
13900000,Secondary, Пенягино,14,Moscow region,2,72.8,33,12.5,9,16,European-style renovation
13900000,Secondary, Павшино,19,Moscow region,2,43.6,23,15.2,14,44,European-style renovation
14000000,Secondary, Павшино,3,Moscow region,2,57,35,10.3,18,25,Designer
13990000,Secondary, Пенягино,11,Moscow region,2,64,36,10,14,20,European-style renovation
14300000,Secondary, Пенягино,9,Moscow region,2,61,40,12,16,17,European-style renovation
15500000,Secondary, Павшино,3,Moscow region,2,88,45,15,17,25,European-style renovation
15991000,Secondary, Волоколамская,15,Moscow region,2,60,35,10,23,29,European-style renovation
16400000,Secondary, Митино,6,Moscow region,2,72.2,36.1,14.7,10,18,European-style renovation
8200000,Secondary, Красногорская,15,Moscow region,2,36.94,24,5,19,23,Without renovation
9600000,Secondary, Опалиха,40,Moscow region,2,58,32,15,23,26,Cosmetic
11300000,Secondary, Павшино,13,Moscow region,2,57,33,10,2,5,Cosmetic
11500000,Secondary, Пенягино,14,Moscow region,2,38.8,25,9,18,46,European-style renovation
11500000,Secondary, Строгино,8,Moscow region,2,48,25,10,13,33,European-style renovation
11950000,Secondary, Пенягино,18,Moscow region,2,44,26,10,3,45,European-style renovation
12300000,Secondary, Мякинино,20,Moscow region,2,43.5,25,11,19,23,Designer
12400000,Secondary, Красногорская,6,Moscow region,2,57.9,31.4,11.4,12,17,Cosmetic
12400000,Secondary, Опалиха,11,Moscow region,2,49.6,26,9,3,7,Designer
12450000,Secondary, Пенягино,16,Moscow region,2,40.4,22.6,10,42,44,Designer
13300000,Secondary, Опалиха,12,Moscow region,2,73.2,27.8,20.8,8,9,European-style renovation
13760000,Secondary, Пенягино,16,Moscow region,2,43,23.9,10.2,20,45,Designer
13800000,Secondary, Аникеевка,7,Moscow region,2,80,41,14,13,24,European-style renovation
14500000,Secondary, Мякинино,26,Moscow region,2,60,36,14,14,25,Designer
14500000,Secondary, Пенягино,6,Moscow region,2,65,34,14,10,26,European-style renovation
15399000,Secondary, Мякинино,20,Moscow region,2,71.1,33.7,15,2,22,European-style renovation
15800000,Secondary, Мякинино,14,Moscow region,2,82.5,41,22,15,24,European-style renovation
16000000,Secondary, Мякинино,16,Moscow region,2,73.2,46,16,20,20,Cosmetic
5550000,Secondary, Опалиха,7,Moscow region,2,41,28,5,2,2,Cosmetic
6500000,Secondary, Опалиха,16,Moscow region,2,43.6,25.7,6,4,4,Cosmetic
6600000,Secondary, Опалиха,4,Moscow region,2,33.3,15.8,8,2,8,Cosmetic
6950000,Secondary, Красногорская,7,Moscow region,2,45,28,6,4,5,Cosmetic
7350000,Secondary, Павшино,11,Moscow region,2,41.6,6,10.1,4,5,Cosmetic
7500000,Secondary, Опалиха,12,Moscow region,2,42.6,29,10.2,8,12,Without renovation
7500000,Secondary, Павшино,20,Moscow region,2,47,20,10,11,25,Without renovation
7700000,Secondary, Красногорская,4,Moscow region,2,42,28.6,6,5,5,Cosmetic
7700000,Secondary, Митино,8,Moscow region,2,44.6,32,6,1,4,Cosmetic
7800000,Secondary, Опалиха,6,Moscow region,2,38,20,8,4,26,Designer
8000000,Secondary, Опалиха,6,Moscow region,2,50,27.4,10.8,8,9,Cosmetic
8000000,Secondary, Красногорская,13,Moscow region,2,45,6,10.4,4,5,European-style renovation
8300000,Secondary, Павшино,5,Moscow region,2,43.8,28,8,9,9,Cosmetic
8500000,Secondary, Красногорская,7,Moscow region,2,47.4,31.2,8.9,6,12,Without renovation
8600000,Secondary, Павшино,10,Moscow region,2,42.9,26.8,5.9,1,5,Cosmetic
8600000,Secondary, Красногорская,7,Moscow region,2,50,14,21,3,14,Cosmetic
8550000,Secondary, Опалиха,2,Moscow region,2,44,11,23,1,8,Without renovation
8700000,Secondary, Красногорская,6,Moscow region,2,51.6,30,9,5,9,Cosmetic
8750000,Secondary, Опалиха,5,Moscow region,2,53.4,30.5,9,2,5,Cosmetic
8950000,Secondary, Опалиха,6,Moscow region,2,48.6,27,10,15,26,Cosmetic
9000000,Secondary, Опалиха,5,Moscow region,2,54,30,9,6,9,Cosmetic
9070000,Secondary, Пенягино,18,Moscow region,2,42.6,10.5,10.2,1,45,European-style renovation
9074100,Secondary, Аникеевка,3,Moscow region,2,60.9,34.2,14,1,3,Without renovation
9000000,Secondary, Павшино,6,Moscow region,2,44.8,26,6,4,5,Cosmetic
9103900,Secondary, Аникеевка,3,Moscow region,2,60,33.1,14,2,3,Without renovation
9150000,Secondary, Красногорская,35,Moscow region,2,53.1,29,11,14,18,Cosmetic
9200000,Secondary, Опалиха,15,Moscow region,2,52,27.7,11,11,12,Without renovation
9200000,Secondary, Опалиха,6,Moscow region,2,48.8,27,10,8,26,Cosmetic
9200000,Secondary, Опалиха,6,Moscow region,2,47.2,26,10.5,1,8,Cosmetic
9250000,Secondary, Опалиха,5,Moscow region,2,57,30.7,14.2,1,8,Without renovation
9300000,Secondary, Павшино,3,Moscow region,2,40,28,7,9,14,European-style renovation
9450000,Secondary, Тушинская,17,Moscow region,2,53.9,29.3,8.7,16,18,Cosmetic
9500000,Secondary, Красногорская,13,Moscow region,2,41.7,29.7,7,2,4,European-style renovation
9500000,Secondary, Опалиха,19,Moscow region,2,48,30,8,1,9,Cosmetic
9500000,Secondary, Опалиха,8,Moscow region,2,52,25.2,9.3,17,26,Cosmetic
9500000,Secondary, Павшино,15,Moscow region,2,47,30,10.5,5,18,European-style renovation
9500000,Secondary, Павшино,13,Moscow region,2,45.1,25.6,6,17,25,Designer
9500000,Secondary, Аникеевка,5,Moscow region,2,47.9,9.7,10.6,2,3,European-style renovation
9600000,Secondary, Пенягино,10,Moscow region,2,35,15.2,11,6,8,Designer
9600000,Secondary, Опалиха,15,Moscow region,2,52.1,11,11,10,12,Without renovation
9700000,Secondary, Опалиха,29,Moscow region,2,60.9,34.2,13.6,1,3,Without renovation
9650000,Secondary, Павшино,6,Moscow region,2,47.1,33.6,6,2,5,European-style renovation
9800000,Secondary, Опалиха,6,Moscow region,2,66,35.9,11.2,10,25,European-style renovation
9800000,Secondary, Опалиха,8,Moscow region,2,45,26,8,8,8,Cosmetic
9900000,Secondary, Митино,15,Moscow region,2,57.9,25.1,13,1,1,Cosmetic
9900000,Secondary, Красногорская,8,Moscow region,2,55.3,10,11.2,2,18,Cosmetic
9850000,Secondary, Павшино,13,Moscow region,2,43.5,32,5,13,25,European-style renovation
9900000,Secondary, Красногорская,8,Moscow region,2,53.7,31.6,7.6,5,9,Designer
9850000,Secondary, Пенягино,12,Moscow region,2,43.5,24.1,10.2,13,25,European-style renovation
10000000,Secondary, Павшино,13,Moscow region,2,51,29,17,12,25,Without renovation
10000000,Secondary, Красногорская,6,Moscow region,2,52,33,9.2,3,17,Cosmetic
9999000,Secondary, Красногорская,11,Moscow region,2,53.4,35,9,16,17,Cosmetic
10000000,Secondary, Опалиха,37,Moscow region,2,60.2,31.3,9,11,25,Cosmetic
10000000,Secondary, Опалиха,6,Moscow region,2,53.2,9,11,5,18,Cosmetic
10200000,Secondary, Пенягино,12,Moscow region,2,40.1,23,5,2,25,European-style renovation
10150000,Secondary, Павшино,9,Moscow region,2,53.4,30.4,8.4,4,14,Cosmetic
10190000,Secondary, Строгино,8,Moscow region,2,48.2,28.2,10.1,28,35,Cosmetic
10300000,Secondary, Павшино,3,Moscow region,2,54.8,29.6,12,8,18,Cosmetic
10300000,Secondary, Опалиха,6,Moscow region,2,56,30,10,17,25,Cosmetic
10300000,Secondary, Строгино,8,Moscow region,2,38.6,17,12,16,33,Cosmetic
10300000,Secondary, Павшино,13,Moscow region,2,61.8,31.1,8.2,2,5,Cosmetic
10500000,Secondary, Опалиха,15,Moscow region,2,55.2,13,11.2,8,8,Cosmetic
10500000,Secondary, Опалиха,6,Moscow region,2,57,32,13,15,25,Cosmetic
10500000,Secondary, Красногорская,12,Moscow region,2,60,34,11,1,17,European-style renovation
10500000,Secondary, Красногорская,9,Moscow region,2,52.1,31,12,3,25,Cosmetic
10500000,Secondary, Опалиха,7,Moscow region,2,52,10,10.9,12,14,European-style renovation
10500000,Secondary, Опалиха,6,Moscow region,2,83.7,40,15,2,24,Without renovation
10600000,Secondary, Тушинская,18,Moscow region,2,60.8,32,12,10,24,European-style renovation
10650000,Secondary, Митино,7,Moscow region,2,49.6,28.1,12.2,10,14,European-style renovation
10650000,Secondary, Опалиха,4,Moscow region,2,57,30.7,14.2,1,8,Without renovation
10670000,Secondary, Опалиха,6,Moscow region,2,72,36,13.8,7,25,Cosmetic
10750000,Secondary, Опалиха,7,Moscow region,2,58.7,31.1,10,8,25,European-style renovation
10900000,Secondary, Красногорская,23,Moscow region,2,67.7,39,10,4,22,European-style renovation
10900000,Secondary, Красногорская,9,Moscow region,2,53.6,29.3,10.5,19,26,European-style renovation
11000000,Secondary, Строгино,8,Moscow region,2,50,30,10,5,25,European-style renovation
11000000,Secondary, Опалиха,16,Moscow region,2,63.3,29.6,19.6,4,8,Without renovation
11050001,Secondary, Мякинино,18,Moscow region,2,33,23,5,11,23,Designer
11300000,Secondary, Павшино,13,Moscow region,2,57,40,10,2,5,Cosmetic
108800000,Secondary, Чеховская,5,Moscow,3,108.8,57.1,15.6,3,3,Without renovation
53000000,Secondary, Арбатская,9,Moscow,3,96.9,59,11.1,2,5,Without renovation
44240000,Secondary, Фили,6,Moscow,3,63.2,34.1,11.9,40,41,Designer
